Topic,Count,Name,Representation,Representative_Docs
129,160,129_france_french_paris_britain,"['france', 'french', 'paris', 'britain', 'uk', 'macron', 'assimilate', 'protests', 'boats', 'reintegration']","[""That's going to be a common theme. But above all, the center of it is, of course, immigration. And that's where they have this idea of, you know, France for French people and that if you're an"", ""in terms of integration in this country, I think we've done a pretty good job. If you compare particularly, I mean, you compare us with France, and you look at the immigration that's happened in France over the last 20 years, and there are genuine ghettos in France where, literally, French people, indigenous French people, are scared to go. Now, there may be one or two areas in this country that you could give that description to, but I couldn't name you more than two or three."", 'migrants in France']"
130,138,130_musk_elon_spacex_twitter,"['musk', 'elon', 'spacex', 'twitter', 'shepard', 'replacement', 'tweet', 'wing', 'disinformation', 'exploitable']","['Elon Musk goes to the border. Our broken border has caught the attention of the most famous immigrant from South Africa, Elon Musk. What will be easier for him?', 'That is Elon Musk. Our broken border has caught the attention of our most famous immigrant, Elon Musk. What will be easier for him?', ""over Elon Musk's comments on illegal immigration""]"
131,168,131_eagle_pass_texas_shore,"['eagle', 'pass', 'texas', 'shore', 'crossing', 'river', 'rio', 'patrol', 'sources', 'paso']","[""4 ,000 illegal migrants crossed border in one day. And that's only at Eagle Pass, Texas."", 'more than 4 ,000 illegal immigrants came into Eagle Pass. On one day.', ""illegal migrants at Eagle Pass. I don't know.""]"
132,190,132_muslim_muslims_islamic_islam,"['muslim', 'muslims', 'islamic', 'islam', 'europe', 'countries', 'mosque', 'radical', 'predominantly', 'refugees']","['immigration from Muslim countries. It is something that I think that', 'all Muslim immigration,', 'Muslim immigration']"
133,235,133_deport_deporting_undocumented_millions,"['deport', 'deporting', 'undocumented', 'millions', 'round', 'aliens', '11', 'them', 'million', 'prisons']","['Can we deport millions of illegal aliens?', 'deport the illegal immigrant', ""They don't want to deport illegal immigrants.""]"
134,146,134_pelosi_nancy_paul_speaker,"['pelosi', 'nancy', 'paul', 'speaker', 'she', 'her', 'crops', 'schumer', 'house', 'california']","[""Right? Call him what you will but the man is a criminal illegal alien allowed to stay here because of Nancy Pelosi's policies. So if you're looking for somebody to blame, here's a list Nancy Pelosi and Hillary Clinton"", ""So why is illegal immigration bad, Democrats? Let's ask Nancy Pelosi."", 'which is exactly what Nancy Pelosi is saying the American people should say about illegals.']"
135,260,135_economy_trade_economics_economists,"['economy', 'trade', 'economics', 'economists', 'economic', 'immigration', 'impact', 'economically', 'without', 'overall']","['immigration and the economy.', 'the economy and immigration.', 'the economy and immigration,']"
136,204,136_cities_angeles_los_chicago,"['cities', 'angeles', 'los', 'chicago', 'city', 'york', 'bussed', 'dc', 'major', 'new']","[""Slowly you are having cities all over America even big cities like Washington DC and Chicago and New York Where these illegal immigrants are being bussed waving the white flag and saying we can't handle this Remember when Martha's Vineyard basically shut down over around 50 illegals being flown in Ron DeSantis did that"", ""Slowly you are having cities all over America, even big cities like Washington, DC and Chicago and New York where these illegal immigrants are being bussed, waving the white flag and saying, we can't handle this. Remember when Martha's Vineyard basically shut down over around 50 illegals being flown in?"", 'But a lot of illegal immigrants are in cities doing city']"
137,246,137_care_cared_cares_about,"['care', 'cared', 'cares', 'about', 'don', 'they', 'se', 'really', 'doesn', 'take']","['who care are the immigrants', 'If you care about immigration,', 'Immigration. People care.']"
138,119,138_wait_structures_op_ed,"['wait', 'structures', 'op', 'ed', 'needing', 'fauci', 'enemy', 'immigration', 'sphere', 'reframe']","['immigration', 'immigration', 'immigration']"
139,139,139_isis_ties_smuggling_tajikistan,"['isis', 'ties', 'smuggling', 'tajikistan', 'network', 'affiliated', '400', 'whereabouts', 'arrested', 'suspected']","['The Department of Homeland Security has identified over 400 migrants who have come to the US from Central Asia and other regions as subjects of concern because they were brought by an ISIS -affiliated human smuggling network. Over 150 of the migrants have already been arrested, while the whereabouts of over 50 others remain unknown.', ""Today's news, eight migrants with ISIS ties apprehended, eight individuals from Tajikistan, suspected ties to ISIS with suspected ties to ISIS crossed into the United States from the southern border last year,"", ""We're talking about a smuggling network with ties to ISIS that the agency was reportedly monitoring. And then, just last month, authorities in Los Angeles, New York, and Philadelphia arrested eight migrants from Tajikistan with suspected ties to ISIS in a series of coordinated sting operations carried out by ICE agents. All eight men crossed through the southern border over the past year after apparently being vetted and released under Biden -era immigration policies.""]"
140,154,140_birth_rates_fertility_declining,"['birth', 'rates', 'fertility', 'declining', 'population', 'rate', 'decline', 'births', 'need', 'babies']","[""Likewise, Schumer's claim that an amnesty for illegal aliens would boost low birth rates among Americans is unlikely, by the way, as fertility rates among foreign -born Americans has dropped more rapidly than fertility rates among native -born Americans."", 'The immigrants are kind of making up for the very low birth rate.', 'the decline in birth rates in the US, what we can do to increase birth rates, why we need more people to, you know, like fund social security and like take care of our aging population. But immigration was']"
